# TileX TileY ObjIdx X_local Y_local
3808 112 34 175.03 160.45
3808 112 35 57.30 173.32
3808 112 36 211.21 189.00
3808 112 37 120.00 192.47
3808 112 38 12.01 197.98
3808 112 39 142.16 202.17
3808 112 40 94.21 210.38
3808 112 41 129.30 217.48
3808 112 42 134.48 214.50
3808 112 43 117.37 217.31
3808 112 44 195.40 222.13
3808 112 45 32.32 223.61
3808 112 46 105.35 46.54
3808 112 47 98.74 54.27
3808 112 48 95.29 47.51
3808 112 49 120.17 128.52
3808 112 50 175.59 200.58
3808 112 51 204.98 73.73
3808 112 52 207.49 55.97
3808 112 53 29.06 64.58
3920 112 1 97.12 30.86
3920 112 2 69.99 19.96
3920 112 3 66.00 26.01
3920 112 4 73.17 23.63
3920 112 5 34.36 27.17
3920 112 6 57.38 29.95
3920 112 7 80.47 35.52
3920 112 8 84.69 60.92
3920 112 9 115.70 48.53
3920 112 10 29.66 75.50
3920 112 11 37.46 76.81
3920 112 12 2.24 78.26
3920 112 13 125.27 86.66
3920 112 14 87.27 94.47
3920 112 15 15.74 108.67
3920 112 16 34.03 124.67
3920 112 17 6.28 141.69
3920 112 18 76.35 152.71
3920 112 19 14.61 162.89
3920 112 20 143.67 156.69
3920 112 21 63.03 160.45
3920 112 22 99.21 189.00
3920 112 23 137.26 195.69
3920 112 24 8.00 192.47
3920 112 25 30.16 202.17
3920 112 26 136.52 207.54
3920 112 27 124.28 211.34
3920 112 28 17.30 217.48
3920 112 29 22.48 214.50
3920 112 30 5.37 217.31
3920 112 31 83.40 222.13
3920 112 32 8.17 128.52
3920 112 33 63.59 200.58
3920 112 34 168.65 98.72
3920 112 35 92.98 73.73
3920 112 36 95.49 55.97
4032 112 1 3.70 48.53
4032 112 2 13.27 86.66
4032 112 3 31.67 156.69
4032 112 4 25.26 195.69
4032 112 5 24.52 207.54
4032 112 6 12.28 211.34
4032 112 7 124.59 27.57
4032 112 8 188.47 104.83
4032 112 9 56.65 98.72
4144 112 1 12.59 27.57
4144 112 2 76.47 104.83
2240 224 1 169.68 222.65
2240 224 2 173.59 163.62
2352 224 1 166.65 204.32
2352 224 2 131.06 208.00
2352 224 3 154.64 206.33
2352 224 4 222.81 217.61
2352 224 5 57.68 222.65
2352 224 6 120.98 222.76
2352 224 7 158.42 220.69
2352 224 8 61.59 163.62
2352 224 9 173.20 220.16
2352 224 10 203.99 208.06
2464 224 1 207.64 176.67
2464 224 2 168.64 178.20
2464 224 3 153.26 181.25
2464 224 4 191.33 177.25
2464 224 5 148.68 189.97
2464 224 6 198.29 203.35
2464 224 7 54.65 204.32
2464 224 8 19.06 208.00
2464 224 9 42.64 206.33
2464 224 10 153.80 209.02
2464 224 11 147.30 213.30
2464 224 12 110.81 217.61
2464 224 13 8.98 222.76
2464 224 14 46.42 220.69
2464 224 15 61.20 220.16
2464 224 16 91.99 208.06
2576 224 1 205.84 185.89
2576 224 2 95.64 176.67
2576 224 3 158.68 158.38
2576 224 4 182.65 156.31
2576 224 5 215.47 157.50
2576 224 6 114.67 174.35
2576 224 7 56.64 178.20
2576 224 8 41.26 181.25
2576 224 9 79.33 177.25
2576 224 10 142.71 186.28
2576 224 11 118.02 182.29
2576 224 12 36.68 189.97
2576 224 13 156.63 195.80
2576 224 14 199.51 202.55
2576 224 15 86.29 203.35
2576 224 16 122.69 206.69
2576 224 17 187.58 207.46
2576 224 18 41.80 209.02
2576 224 19 202.72 209.82
2576 224 20 220.33 212.67
2576 224 21 35.30 213.30
2576 224 22 130.49 221.75
2576 224 23 156.95 99.64
2576 224 24 166.00 158.58
2688 224 1 168.20 134.28
2688 224 2 198.21 153.25
2688 224 3 195.00 140.97
2688 224 4 162.68 138.15
2688 224 5 93.84 185.89
2688 224 6 145.72 145.28
2688 224 7 141.78 146.41
2688 224 8 149.69 149.29
2688 224 9 46.68 158.38
2688 224 10 70.65 156.31
2688 224 11 103.47 157.50
2688 224 12 132.69 162.69
2688 224 13 126.19 169.96
2688 224 14 190.20 176.03
2688 224 15 2.67 174.35
2688 224 16 113.67 180.34
2688 224 17 30.71 186.28
2688 224 18 6.02 182.29
2688 224 19 177.69 188.34
2688 224 20 44.63 195.80
2688 224 21 141.07 191.47
2688 224 22 87.51 202.55
2688 224 23 152.67 202.34
2688 224 24 10.69 206.69
2688 224 25 75.58 207.46
2688 224 26 90.72 209.82
2688 224 27 108.33 212.67
2688 224 28 180.23 213.60
2688 224 29 164.48 215.48
2688 224 30 18.49 221.75
2688 224 31 44.95 99.64
2688 224 32 156.69 157.33
2688 224 33 54.00 158.58
2688 224 34 189.04 144.24
2800 224 1 188.59 125.07
2800 224 2 125.89 128.01
2800 224 3 200.18 148.41
2800 224 4 56.20 134.28
2800 224 5 163.14 136.19
2800 224 6 86.21 153.25
2800 224 7 83.00 140.97
2800 224 8 50.68 138.15
2800 224 9 151.72 143.05
2800 224 10 33.72 145.28
2800 224 11 181.02 151.51
2800 224 12 29.78 146.41
2800 224 13 37.69 149.29
2800 224 14 134.97 155.31
2800 224 15 123.23 159.79
2800 224 16 20.69 162.69
2800 224 17 14.19 169.96
2800 224 18 78.20 176.03
2800 224 19 141.26 175.58
2800 224 20 1.67 180.34
2800 224 21 207.50 180.48
2800 224 22 118.19 181.63
2800 224 23 218.21 179.78
2800 224 24 65.69 188.34
2800 224 25 135.31 180.78
2800 224 26 29.07 191.47
2800 224 27 40.67 202.34
2800 224 28 143.89 200.81
2800 224 29 179.66 210.35
2800 224 30 132.40 210.77
2800 224 31 68.23 213.60
2800 224 32 52.48 215.48
2800 224 33 160.49 220.49
2800 224 34 44.69 157.33
2800 224 35 213.69 219.02
2800 224 36 77.04 144.24
2912 224 1 223.33 80.29
2912 224 2 182.28 92.36
2912 224 3 144.70 94.32
2912 224 4 147.01 99.24
2912 224 5 119.64 109.27
2912 224 6 76.59 125.07
2912 224 7 204.94 142.41
2912 224 8 13.89 128.01
2912 224 9 88.18 148.41
2912 224 10 51.14 136.19
2912 224 11 209.49 142.98
2912 224 12 39.72 143.05
2912 224 13 69.02 151.51
2912 224 14 22.97 155.31
2912 224 15 215.93 152.49
2912 224 16 11.23 159.79
2912 224 17 175.57 170.97
2912 224 18 195.01 174.74
2912 224 19 29.26 175.58
2912 224 20 95.50 180.48
2912 224 21 6.19 181.63
2912 224 22 203.83 181.35
2912 224 23 106.21 179.78
2912 224 24 23.31 180.78
2912 224 25 138.98 192.52
2912 224 26 31.89 200.81
2912 224 27 67.66 210.35
2912 224 28 20.40 210.77
2912 224 29 149.69 214.65
2912 224 30 112.28 217.71
2912 224 31 48.49 220.49
2912 224 32 140.44 35.65
2912 224 33 101.69 219.02
2912 224 34 206.62 218.03
3024 224 1 188.44 75.19
3024 224 2 206.12 155.60
3024 224 3 194.16 100.31
3024 224 4 197.48 116.78
3024 224 5 111.33 80.29
3024 224 6 173.68 84.76
3024 224 7 202.81 88.31
3024 224 8 70.28 92.36
3024 224 9 120.30 91.64
3024 224 10 32.70 94.32
3024 224 11 146.60 99.83
3024 224 12 35.01 99.24
3024 224 13 7.64 109.27
3024 224 14 128.82 113.00
3024 224 15 92.94 142.41
3024 224 16 97.49 142.98
3024 224 17 103.93 152.49
3024 224 18 117.94 159.08
3024 224 19 126.00 161.01
3024 224 20 166.72 164.35
3024 224 21 63.57 170.97
3024 224 22 83.01 174.74
3024 224 23 91.83 181.35
3024 224 24 141.46 189.52
3024 224 25 26.98 192.52
3024 224 26 180.34 199.13
3024 224 27 135.33 208.32
3024 224 28 167.52 212.58
3024 224 29 37.69 214.65
3024 224 30 0.28 217.71
3024 224 31 28.44 35.65
3024 224 32 139.01 93.49
3024 224 33 94.62 218.03
3024 224 34 151.11 217.93
3024 224 35 173.10 80.49
3136 224 1 76.44 75.19
3136 224 2 94.12 155.60
3136 224 3 170.70 51.64
3136 224 4 166.13 53.88
3136 224 5 220.48 57.31
3136 224 6 122.41 54.00
3136 224 7 178.76 57.62
3136 224 8 150.77 60.75
3136 224 9 82.16 100.31
3136 224 10 122.68 66.32
3136 224 11 136.52 72.05
3136 224 12 186.00 78.00
3136 224 13 215.69 80.99
3136 224 14 85.48 116.78
3136 224 15 61.68 84.76
3136 224 16 90.81 88.31
3136 224 17 177.46 93.99
3136 224 18 8.30 91.64
3136 224 19 34.60 99.83
3136 224 20 134.41 103.61
3136 224 21 186.22 113.46
3136 224 22 16.82 113.00
3136 224 23 206.22 125.96
3136 224 24 158.61 130.82
3136 224 25 194.00 133.04
3136 224 26 112.70 154.66
3136 224 27 5.94 159.08
3136 224 28 14.00 161.01
3136 224 29 54.72 164.35
3136 224 30 147.79 175.61
3136 224 31 29.46 189.52
3136 224 32 157.27 192.90
3136 224 33 68.34 199.13
3136 224 34 23.33 208.32
3136 224 35 118.96 209.98
3136 224 36 55.52 212.58
3136 224 37 27.01 93.49
3136 224 38 220.29 155.18
3136 224 39 39.11 217.93
3136 224 40 121.43 215.06
3136 224 41 61.10 80.49
3248 224 1 128.81 34.35
3248 224 2 196.69 17.34
3248 224 3 146.50 33.72
3248 224 4 58.70 51.64
3248 224 5 212.53 37.46
3248 224 6 54.13 53.88
3248 224 7 206.57 39.51
3248 224 8 108.48 57.31
3248 224 9 10.41 54.00
3248 224 10 66.76 57.62
3248 224 11 205.30 80.50
3248 224 12 38.77 60.75
3248 224 13 10.68 66.32
3248 224 14 24.52 72.05
3248 224 15 74.00 78.00
3248 224 16 103.69 80.99
3248 224 17 217.74 84.01
3248 224 18 65.46 93.99
3248 224 19 22.41 103.61
3248 224 20 74.22 113.46
3248 224 21 188.53 110.48
3248 224 22 223.09 121.55
3248 224 23 191.17 123.19
3248 224 24 182.96 125.17
3248 224 25 94.22 125.96
3248 224 26 46.61 130.82
3248 224 27 82.00 133.04
3248 224 28 168.01 138.51
3248 224 29 147.50 161.69
3248 224 30 0.70 154.66
3248 224 31 121.04 169.47
3248 224 32 35.79 175.61
3248 224 33 134.00 182.18
3248 224 34 45.27 192.90
3248 224 35 183.49 201.51
3248 224 36 6.96 209.98
3248 224 37 108.29 155.18
3248 224 38 132.76 130.64
3248 224 39 9.43 215.06
3360 224 1 174.86 0.01
3360 224 2 146.51 9.54
3360 224 3 16.81 34.35
3360 224 4 84.69 17.34
3360 224 5 34.50 33.72
3360 224 6 151.46 28.48
3360 224 7 175.24 36.59
3360 224 8 100.53 37.46
3360 224 9 94.57 39.51
3360 224 10 93.30 80.50
3360 224 11 105.74 84.01
3360 224 12 76.53 110.48
3360 224 13 111.09 121.55
3360 224 14 79.17 123.19
3360 224 15 70.96 125.17
3360 224 16 184.39 131.15
3360 224 17 216.75 139.00
3360 224 18 56.01 138.51
3360 224 19 35.50 161.69
3360 224 20 152.03 165.54
3360 224 21 186.67 168.69
3360 224 22 9.04 169.47
3360 224 23 186.97 172.49
3360 224 24 22.00 182.18
3360 224 25 71.49 201.51
3360 224 26 124.47 29.39
3360 224 27 112.17 153.26
3360 224 28 214.33 147.52
3360 224 29 20.76 130.64
3360 224 30 157.46 16.45
3472 224 1 62.86 0.01
3472 224 2 34.51 9.54
3472 224 3 187.22 11.55
3472 224 4 139.81 33.72
3472 224 5 148.43 23.20
3472 224 6 39.46 28.48
3472 224 7 157.79 36.56
3472 224 8 63.24 36.59
3472 224 9 219.30 53.92
3472 224 10 219.06 75.83
3472 224 11 168.97 101.00
3472 224 12 138.34 122.31
3472 224 13 72.39 131.15
3472 224 14 104.75 139.00
3472 224 15 151.58 144.11
3472 224 16 196.76 141.77
3472 224 17 40.03 165.54
3472 224 18 74.67 168.69
3472 224 19 115.81 170.05
3472 224 20 74.97 172.49
3472 224 21 222.63 191.24
3472 224 22 138.38 197.00
3472 224 23 198.93 221.00
3472 224 24 12.47 29.39
3472 224 25 0.17 153.26
3472 224 26 102.33 147.52
3472 224 27 175.08 218.14
3472 224 28 45.46 16.45
3584 224 1 168.34 9.11
3584 224 2 162.80 36.99
3584 224 3 75.22 11.55
3584 224 4 137.74 16.98
3584 224 5 27.81 33.72
3584 224 6 36.43 23.20
3584 224 7 45.79 36.56
3584 224 8 180.83 37.51
3584 224 9 107.30 53.92
3584 224 10 128.54 90.37
3584 224 11 137.17 73.16
3584 224 12 107.06 75.83
3584 224 13 148.31 82.51
3584 224 14 220.86 86.28
3584 224 15 56.97 101.00
3584 224 16 213.97 127.70
3584 224 17 26.34 122.31
3584 224 18 197.33 124.69
3584 224 19 155.36 133.73
3584 224 20 39.58 144.11
3584 224 21 84.76 141.77
3584 224 22 174.10 147.85
3584 224 23 191.67 154.30
3584 224 24 211.35 188.55
3584 224 25 131.07 167.80
3584 224 26 3.81 170.05
3584 224 27 202.84 179.82
3584 224 28 147.31 196.33
3584 224 29 110.63 191.24
3584 224 30 26.38 197.00
3584 224 31 118.70 207.36
3584 224 32 134.16 209.37
3584 224 33 221.32 203.03
3584 224 34 217.51 195.31
3584 224 35 179.08 209.26
3584 224 36 86.93 221.00
3584 224 37 187.03 216.90
3584 224 38 214.85 213.07
3584 224 39 142.61 93.22
3584 224 40 63.08 218.14
3584 224 41 198.52 218.13
3696 224 1 141.62 0.72
3696 224 2 56.34 9.11
3696 224 3 191.31 7.35
3696 224 4 50.80 36.99
3696 224 5 25.74 16.98
3696 224 6 68.83 37.51
3696 224 7 137.35 43.99
3696 224 8 124.78 44.57
3696 224 9 169.30 61.32
3696 224 10 16.54 90.37
3696 224 11 25.17 73.16
3696 224 12 36.31 82.51
3696 224 13 108.86 86.28
3696 224 14 124.01 85.98
3696 224 15 206.21 98.38
3696 224 16 144.32 111.61
3696 224 17 101.97 127.70
3696 224 18 85.33 124.69
3696 224 19 211.58 131.83
3696 224 20 43.36 133.73
3696 224 21 186.79 135.63
3696 224 22 221.93 160.79
3696 224 23 62.10 147.85
3696 224 24 186.89 149.81
3696 224 25 79.67 154.30
3696 224 26 143.80 155.39
3696 224 27 187.15 168.98
3696 224 28 99.35 188.55
3696 224 29 200.49 161.51
3696 224 30 216.66 167.94
3696 224 31 19.07 167.80
3696 224 32 144.98 176.03
3696 224 33 90.84 179.82
3696 224 34 219.94 188.90
3696 224 35 35.31 196.33
3696 224 36 6.70 207.36
3696 224 37 22.16 209.37
3696 224 38 109.32 203.03
3696 224 39 105.51 195.31
3696 224 40 67.08 209.26
3696 224 41 75.03 216.90
3696 224 42 102.85 213.07
3696 224 43 30.61 93.22
3696 224 44 86.52 218.13
3808 224 1 29.62 0.72
3808 224 2 146.03 12.67
3808 224 3 79.31 7.35
3808 224 4 118.28 29.69
3808 224 5 188.35 40.71
3808 224 6 126.61 50.89
3808 224 7 25.35 43.99
3808 224 8 12.78 44.57
3808 224 9 175.03 48.45
3808 224 10 57.30 61.32
3808 224 11 211.21 77.00
3808 224 12 120.00 80.47
3808 224 13 12.01 85.98
3808 224 14 142.16 90.17
3808 224 15 94.21 98.38
3808 224 16 129.30 105.48
3808 224 17 134.48 102.50
3808 224 18 117.37 105.31
3808 224 19 195.40 110.13
3808 224 20 32.32 111.61
3808 224 21 114.84 118.35
3808 224 22 190.78 119.12
3808 224 23 174.75 121.93
3808 224 24 99.58 131.83
3808 224 25 132.08 176.75
3808 224 26 123.22 135.04
3808 224 27 74.79 135.63
3808 224 28 172.72 136.28
3808 224 29 186.71 141.71
3808 224 30 179.21 143.62
3808 224 31 109.93 160.79
3808 224 32 74.89 149.81
3808 224 33 31.80 155.39
3808 224 34 75.15 168.98
3808 224 35 88.49 161.51
3808 224 36 104.66 167.94
3808 224 37 32.98 176.03
3808 224 38 107.94 188.90
3808 224 39 159.33 193.30
3808 224 40 154.21 203.79
3808 224 41 216.68 204.00
3808 224 42 130.02 220.58
3808 224 43 120.17 16.52
3808 224 44 175.59 88.58
3920 224 1 34.03 12.67
3920 224 2 6.28 29.69
3920 224 3 76.35 40.71
3920 224 4 14.61 50.89
3920 224 5 143.67 44.69
3920 224 6 63.03 48.45
3920 224 7 99.21 77.00
3920 224 8 137.26 83.69
3920 224 9 8.00 80.47
3920 224 10 30.16 90.17
3920 224 11 136.52 95.54
3920 224 12 124.28 99.34
3920 224 13 17.30 105.48
3920 224 14 22.48 102.50
3920 224 15 5.37 105.31
3920 224 16 83.40 110.13
3920 224 17 154.21 112.61
3920 224 18 2.84 118.35
3920 224 19 78.78 119.12
3920 224 20 62.75 121.93
3920 224 21 20.08 176.75
3920 224 22 11.22 135.04
3920 224 23 60.72 136.28
3920 224 24 74.71 141.71
3920 224 25 67.21 143.62
3920 224 26 165.51 158.80
3920 224 27 159.56 168.32
3920 224 28 114.80 181.03
3920 224 29 134.84 179.68
3920 224 30 47.33 193.30
3920 224 31 169.84 191.13
3920 224 32 174.38 191.22
3920 224 33 42.21 203.79
3920 224 34 104.68 204.00
3920 224 35 176.34 217.69
3920 224 36 18.02 220.58
3920 224 37 8.17 16.52
3920 224 38 63.59 88.58
4032 224 1 31.67 44.69
4032 224 2 25.26 83.69
4032 224 3 24.52 95.54
4032 224 4 12.28 99.34
4032 224 5 42.21 112.61
4032 224 6 53.51 158.80
4032 224 7 47.56 168.32
4032 224 8 2.80 181.03
4032 224 9 22.84 179.68
4032 224 10 57.84 191.13
4032 224 11 62.38 191.22
4032 224 12 64.34 217.69
4032 224 13 124.23 174.83
4144 224 1 12.23 174.83
4144 224 2 140.58 175.15
4256 224 1 28.58 175.15
1568 336 1 197.14 179.54
1680 336 1 85.14 179.54
1792 336 1 136.47 205.46
1792 336 2 210.69 205.41
1792 336 3 209.50 218.49
1792 336 4 121.22 223.39
1904 336 1 223.25 166.62
1904 336 2 221.04 173.32
1904 336 3 177.73 175.30
1904 336 4 172.94 179.67
1904 336 5 203.71 185.63
1904 336 6 137.79 183.90
1904 336 7 116.49 187.50
1904 336 8 179.52 190.51
1904 336 9 153.39 181.35
1904 336 10 157.91 186.87
1904 336 11 180.28 198.73
1904 336 12 24.47 205.46
1904 336 13 200.94 204.51
1904 336 14 212.94 206.53
1904 336 15 98.69 205.41
1904 336 16 214.69 208.73
1904 336 17 97.50 218.49
1904 336 18 190.29 115.59
1904 336 19 9.22 223.39
2016 336 1 209.30 159.71
2016 336 2 147.42 161.69
2016 336 3 111.25 166.62
2016 336 4 109.04 173.32
2016 336 5 65.73 175.30
2016 336 6 60.94 179.67
2016 336 7 91.71 185.63
2016 336 8 25.79 183.90
2016 336 9 4.49 187.50
2016 336 10 67.52 190.51
